Product discription (HS),World Average,Argentina,Australia,Austria,Belgium,Brazil,China,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,"Korea, Republic of",Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Singapore,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
BEEF,3647,1370,3592,1964,2204,4612,3239,9402,2643,1811,2239,1750,1904,1825,5261,12216,1827,1432,2721,2683,4030,2450,2434,2608,4085,1541,2176,1694,2074,4229,4518,4075,4488,2063,1956,4114,3220,1848,1651,5018,2939,1748,3358
BEEF BONELESS,5138,1930,5061,2767,3106,6496,4563,13244,3724,2552,3154,2465,2682,2571,7410,17207,2574,2017,3833,3780,5677,3451,3429,3674,5754,2171,3066,2387,2922,5958,6364,5740,6323,2906,2755,5796,4536,2604,2327,7069,4140,2463,4730
BEEF FROZEN,3647,1370,3592,1964,2204,4612,3239,9402,2643,1811,2239,1750,1904,1825,5261,12216,1827,1432,2721,2683,4030,2450,2434,2608,4085,1541,2176,1694,2074,4229,4518,4075,4488,2063,1956,4114,3220,1848,1651,5018,2939,1748,3358
BEEF FROZEN BONELESS,5138,1930,5061,2767,3106,6496,4563,13244,3724,2552,3154,2465,2682,2571,7410,17207,2574,2017,3833,3780,5677,3451,3429,3674,5754,2171,3066,2387,2922,5958,6364,5740,6323,2906,2755,5796,4536,2604,2327,7069,4140,2463,4730
PORK BONELESS,1892,1371,2188,971,1636,2278,1929,2872,1846,1645,1912,1981,1624,1335,2267,2216,1654,873,1925,1813,1951,3894,1645,1575,2638,1400,637,1574,1762,2753,1563,2415,2257,1862,1908,2816,2270,1525,1453,2475,1515,1500,1740
PORK,1996,1446,2308,1025,1726,2402,2034,3029,1948,1735,2016,2089,1713,1408,2391,2337,1745,921,2031,1913,2058,4107,1735,1662,2783,1476,672,1660,1859,2903,1649,2548,2381,1964,2013,2970,2395,1609,1533,2611,1598,1582,1836
PORK BONELESS FROZEN,1454,1052,1682,745,1256,1750,1482,2208,1418,1263,1469,1522,1247,1025,1742,1703,1270,669,1479,1393,1499,2995,1263,1210,2028,1074,487,1208,1354,2116,1200,1856,1735,1431,1466,2165,1745,1171,1116,1903,1163,1152,1337
PORK FROZEN,1892,1371,2188,971,1636,2278,1929,2872,1846,1645,1912,1981,1624,1335,2267,2216,1654,873,1925,1813,1951,3894,1645,1575,2638,1400,637,1574,1762,2753,1563,2415,2257,1862,1908,2816,2270,1525,1453,2475,1515,1500,1740
LAMB,2773,1884,2823,1913,2268,3250,1547,3178,2402,1104,1954,1931,1273,1147,3053,19547,1750,1070,2494,1291,2027,2076,1824,7022,5748,2318,1600,2527,2612,2767,2937,2579,0,2187,1517,3089,2927,1625,1648,2696,2067,1670,3012
LAMB BONELESS,3471,2360,3533,2396,2839,4067,1937,3977,3007,1385,2447,2418,1596,1437,3821,24438,2192,1341,3121,1617,2538,2599,2285,8782,7189,2902,2004,3163,3269,3463,3676,3228,0,2738,1901,3866,3663,2035,2064,3374,2588,2092,3769
SHEEP,2773,1884,2823,1913,2268,3250,1547,3178,2402,1104,1954,1931,1273,1147,3053,19547,1750,1070,2494,1291,2027,2076,1824,7022,5748,2318,1600,2527,2612,2767,2937,2579,0,2187,1517,3089,2927,1625,1648,2696,2067,1670,3012
SHEEP BONELESS,3471,2360,3533,2396,2839,4067,1937,3977,3007,1385,2447,2418,1596,1437,3821,24438,2192,1341,3121,1617,2538,2599,2285,8782,7189,2902,2004,3163,3269,3463,3676,3228,0,2738,1901,3866,3663,2035,2064,3374,2588,2092,3769
BEEF LIVER,2599,821,2261,1314,1527,2855,1850,6265,1765,1129,1605,1147,1273,1224,3459,8831,1387,939,1923,1859,3099,1941,1745,1806,2802,1061,1373,1112,1356,2970,2774,2925,3338,1397,1351,2844,2138,1257,1125,3150,2194,1192,2420
PORK CURED,2079,1506,2405,1066,1797,2503,2119,3157,2029,1807,2100,2177,1784,1466,2491,2435,1817,958,2115,1992,2144,4281,1807,1730,2900,1537,698,1729,1936,3025,1717,2654,2480,2046,2096,3095,2495,1675,1596,2720,1664,1648,1912
BEEF CURED,7933,2981,7813,4272,4796,10029,7045,20444,5750,3941,4871,3807,4142,3970,11440,26561,3975,3116,5919,5837,8765,5329,5294,5673,8884,3353,4735,3686,4513,9198,9825,8862,9761,4488,4255,8948,7003,4022,3594,10913,6392,3803,7303
MILK < 1% FAT,340,191,266,157,228,401,427,489,306,180,283,189,184,177,503,932,162,139,260,323,372,388,327,209,613,176,192,161,294,378,440,461,0,290,245,367,596,191,120,376,397,172,265
MILK 1-6% FAT,351,198,275,163,236,415,441,505,317,186,293,195,190,183,519,963,167,144,268,334,384,401,338,216,633,182,199,166,304,391,454,476,0,299,253,379,615,198,124,389,410,177,274
MILK > 6% FAT,633,356,496,293,424,746,794,909,570,334,527,351,342,330,935,1734,301,259,483,601,692,721,608,390,1139,327,358,299,547,704,818,858,0,539,456,682,1108,356,223,700,738,319,493
MILK POWDER < 1.5% FAT,1582,889,1239,732,1061,1866,1986,2272,1425,835,1318,878,854,824,2338,4335,752,648,1207,1502,1730,1802,1519,974,2849,817,894,748,1368,1759,2045,2144,0,1346,1140,1705,2770,890,557,1749,1844,798,1232
MILK POWDER > 1.5% FAT,1582,889,1239,732,1061,1866,1986,2272,1425,835,1318,878,854,824,2338,4335,752,648,1207,1502,1730,1802,1519,974,2849,817,894,748,1368,1759,2045,2144,0,1346,1140,1705,2770,890,557,1749,1844,798,1232
YOGURT,395,222,310,183,265,466,497,568,356,209,329,220,214,206,584,1084,188,162,302,376,433,451,380,243,712,204,224,187,342,440,511,536,0,337,285,426,692,222,139,437,461,199,308
BUTTERMILK,533,300,418,247,358,629,669,766,480,281,444,296,288,278,788,1461,254,218,407,506,583,607,512,328,960,275,301,252,461,593,689,723,0,454,384,575,933,300,188,590,622,269,415
BUTTER,1851,1041,1450,856,1242,2183,2324,2659,1668,977,1543,1028,1000,965,2736,5073,880,758,1413,1758,2025,2109,1778,1140,3334,957,1046,876,1601,2059,2393,2510,0,1576,1334,1995,3242,1042,652,2048,2158,934,1442
CHEESE UNFERMENTED,1059,596,830,490,711,1250,1330,1522,954,559,883,588,572,552,1566,2903,504,434,809,1006,1159,1207,1017,652,1908,547,599,501,916,1178,1369,1436,0,902,763,1142,1855,596,373,1172,1235,534,825
CHEESE GRATED,1687,951,1323,783,1133,1989,2117,2421,1520,893,1406,939,914,881,2491,4614,805,694,1289,1602,1845,1921,1620,1041,3034,874,956,801,1459,1875,2179,2285,0,1437,1217,1818,2950,951,597,1865,1966,853,1315
CHEESE PROCESSED,1687,951,1323,783,1133,1989,2117,2421,1520,893,1406,939,914,881,2491,4614,805,694,1289,1602,1845,1921,1620,1041,3034,874,956,801,1459,1875,2179,2285,0,1437,1217,1818,2950,951,597,1865,1966,853,1315
EGGS,1088,606,594,472,557,975,1031,1138,966,545,1072,545,471,522,1166,1020,563,464,447,616,1122,2521,1412,457,1297,447,402,485,929,1244,931,1614,436,1007,1080,1300,1225,562,434,1401,1815,496,522
TURKEY,1442,886,1114,667,804,1491,1324,1582,1213,670,1432,564,813,830,1599,1321,968,878,881,855,1500,3972,1692,640,1818,596,492,725,1298,1674,1326,2163,1249,1340,1400,1797,1478,769,508,1948,2200,703,739